Longitude,Latitude,Altitude
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,192
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,192
78.71498106,10.76488498,192
78.71498106,10.76488498,188
78.71498106,10.76488498,192
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71498106,10.76488498,188
78.71429442,10.76488498,188
78.71429442,10.76488498,188
78.71429442,10.76488498,188
78.71429442,10.7652283,192
78.71429442,10.7652283,192
78.71429442,10.7652283,192
78.71429442,10.76557162,192
78.71429442,10.76557162,192
78.71429442,10.76591495,192
78.71429442,10.76591495,196
78.71429442,10.76625827,192
78.71429442,10.76625827,192
78.71429442,10.76660159,192
78.71429442,10.76660159,192
78.71429442,10.76694491,192
78.71429442,10.76694491,192
78.71429442,10.76694491,196
78.71429442,10.76728824,192
78.71429442,10.76728824,192
78.71429442,10.76763156,192
78.71429442,10.76763156,192
78.71429442,10.76797488,192
78.71429442,10.76797488,188
78.71429442,10.76831821,188
78.71498106,10.76831821,188
78.71429442,10.76866153,188
78.71429442,10.76866153,188
78.71429442,10.76866153,188
78.71429442,10.76866153,184
78.71429442,10.76866153,184
78.71429442,10.76866153,184
78.71360777,10.76866153,184
78.71360777,10.76866153,188
78.71360777,10.76866153,188
78.71292113,10.76866153,188
78.71292113,10.76900485,188
78.71292113,10.76900485,188
78.71292113,10.76900485,188
78.71223448,10.76866153,184
78.71223448,10.76866153,184
78.71223448,10.76866153,188
78.71292113,10.76866153,188
78.71292113,10.76866153,188
78.71292113,10.76866153,192
78.71292113,10.76866153,192
78.71292113,10.76866153,192
78.71360777,10.76866153,200
78.71429442,10.76866153,212
78.71498106,10.76866153,216
78.717041,10.76866153,220
78.71841429,10.76900485,212
78.72047423,10.76900485,208
78.72322081,10.76934817,208
78.72596739,10.76934817,200
78.72871397,10.7696915,140
78.7321472,10.77003482,224
78.73558043,10.77037814,356
78.73832701,10.77037814,564
78.74176024,10.77072147,768
78.74450682,10.77106479,980
78.74794005,10.77106479,1196
78.75137329,10.77140811,1416
78.75411987,10.77140811,1604
78.7575531,10.77175143,1728
78.76029968,10.77175143,1836
78.76373291,10.77209476,1936
78.76716614,10.77175143,2008
78.77059937,10.77106479,2072
78.77403259,10.77003482,2136
78.77746582,10.76900485,2220
78.78089905,10.76763156,2300
78.78433228,10.76625827,2380
78.7877655,10.76488498,2440
78.79188538,10.76351169,2484
78.79600525,10.76248172,2552
78.80012512,10.76145175,2652
78.80424499,10.76110843,2752
78.80905151,10.76042178,2864
78.81317139,10.76007846,2964
78.8179779,10.76007846,3088
78.82278442,10.75973514,3232
78.82759094,10.75973514,3404
78.83239746,10.75973514,3604
78.83720398,10.76007846,3820
78.8420105,10.76007846,4052
78.84681702,10.76042178,4268
78.85162353,10.7607651,4468
78.85643005,10.7607651,4676
78.86123657,10.76110843,4900
78.86604309,10.76110843,5124
78.87084961,10.76110843,5340
78.87565613,10.76110843,5536
78.88114929,10.7607651,5708
78.88595581,10.7607651,5852
78.89076233,10.76042178,5964
78.89625549,10.76007846,6036
78.90174866,10.76007846,6100
78.90724182,10.75973514,6164
78.91273498,10.75939181,6236
78.91822815,10.75904849,6316
78.92372131,10.75870517,6388
78.92990112,10.75836184,6456
78.93539429,10.75801852,6524
78.94157409,10.7576752,6592
78.9477539,10.75733188,6656
78.95393371,10.75698855,6716
78.96080017,10.75664523,6780
78.96697998,10.75664523,6832
78.97315979,10.75630191,6888
78.98002624,10.75595859,6956
78.9868927,10.75561526,7044
78.99307251,10.75527194,7148
78.99993896,10.75492862,7280
79.00680542,10.75458529,7428
79.01367187,10.75424197,7592
79.02053833,10.75389865,7772
79.02740478,10.75355533,7944
79.03427124,10.75355533,8112
79.04113769,10.753212,8288
79.04800415,10.75286868,8468
79.05418396,10.75286868,8656
79.06105041,10.75252536,8828
79.06791687,10.75252536,9000
79.07478332,10.75252536,9164
79.08164978,10.75252536,9340
79.08851623,10.75252536,9536
79.09538269,10.75252536,9720
79.10224914,10.75286868,9876
79.1091156,10.75286868,10008
79.11598205,10.75286868,10116
79.12284851,10.75286868,10204
79.13040161,10.753212,10292
79.13726806,10.753212,10400
79.14413452,10.753212,10536
79.15100097,10.753212,10676
79.15855407,10.753212,10824
79.16542053,10.75286868,10960
79.17297363,10.75286868,11076
79.17984008,10.75286868,11196
79.18670654,10.75252536,11324
79.19425964,10.75252536,11464
79.20112609,10.75252536,11616
79.20867919,10.75218203,11780
79.21554565,10.75218203,11940
79.22309875,10.75183871,12092
79.2299652,10.75183871,12232
79.23751831,10.75149539,12368
79.24438476,10.75115207,12516
79.25193786,10.75115207,12680
79.25949096,10.75080874,12848
79.26635742,10.75080874,13008
79.27391052,10.75046542,13144
79.28077697,10.75046542,13264
79.28833007,10.7501221,13372
79.29588317,10.74977877,13476
79.30274963,10.74977877,13568
79.31030273,10.74943545,13660
79.31785583,10.74943545,13748
79.32540893,10.74909213,13836
79.33296203,10.74909213,13928
79.34051513,10.74874881,14036
79.34738159,10.74874881,14160
79.35493469,10.74840548,14300
79.36248779,10.74806216,14428
79.37004089,10.74806216,14528
79.37759399,10.74771884,14624
79.38583373,10.74771884,14724
79.39338683,10.74737552,14828
79.40093993,10.74737552,14940
79.40849303,10.74703219,15064
79.41604614,10.74668887,15184
