Date| tempC
{2018, 1, 4, 19, 51, 0.}| -5
{2018, 1, 4, 20, 28, 0.}| -5
{2018, 1, 4, 20, 49, 0.}| -5
{2018, 1, 4, 20, 51, 0.}| -4.4
{2018, 1, 4, 21, 34, 0.}| -4.4
{2018, 1, 4, 21, 49, 0.}| -4
{2018, 1, 4, 21, 51, 0.}| -4.4
{2018, 1, 4, 22, 49, 0.}| -4
{2018, 1, 4, 22, 51, 0.}| -3.9
{2018, 1, 4, 23, 51, 0.}| -3.9
{2018, 1, 5, 0, 51, 0.}| -4.4
{2018, 1, 5, 1, 51, 0.}| -5.6
{2018, 1, 5, 2, 51, 0.}| -6.1
{2018, 1, 5, 3, 51, 0.}| -6.7
{2018, 1, 5, 4, 51, 0.}| -7.2
{2018, 1, 5, 4, 59, 0.}| -7.2
{2018, 1, 5, 5, 51, 0.}| -8.3
{2018, 1, 5, 6, 51, 0.}| -9.4
{2018, 1, 5, 7, 51, 0.}| -10
{2018, 1, 5, 8, 51, 0.}| -10.6
{2018, 1, 5, 9, 51, 0.}| -11.1
{2018, 1, 5, 10, 51, 0.}| -11.7
{2018, 1, 5, 11, 51, 0.}| -12.2
{2018, 1, 5, 12, 51, 0.}| -12.2
{2018, 1, 5, 13, 51, 0.}| -12.2
{2018, 1, 5, 14, 51, 0.}| -11.7
{2018, 1, 5, 15, 51, 0.}| -11.1
{2018, 1, 5, 16, 51, 0.}| -10.6
{2018, 1, 5, 17, 51, 0.}| -10
{2018, 1, 5, 18, 51, 0.}| -9.4
{2018, 1, 5, 19, 51, 0.}| -8.9
{2018, 1, 5, 20, 51, 0.}| -8.9
{2018, 1, 5, 21, 51, 0.}| -8.9
{2018, 1, 5, 22, 51, 0.}| -9.4
{2018, 1, 5, 23, 51, 0.}| -9.4
{2018, 1, 6, 0, 51, 0.}| -10
{2018, 1, 6, 1, 51, 0.}| -10.6
{2018, 1, 6, 2, 51, 0.}| -11.1
{2018, 1, 6, 3, 51, 0.}| -11.7
{2018, 1, 6, 4, 51, 0.}| -11.7
{2018, 1, 6, 4, 59, 0.}| -11.7
{2018, 1, 6, 5, 51, 0.}| -12.2
{2018, 1, 6, 6, 51, 0.}| -11.7
{2018, 1, 6, 7, 51, 0.}| -12.2
{2018, 1, 6, 8, 51, 0.}| -12.8
{2018, 1, 6, 9, 51, 0.}| -12.8
{2018, 1, 6, 10, 51, 0.}| -12.8
{2018, 1, 6, 11, 51, 0.}| -12.8
{2018, 1, 6, 12, 51, 0.}| -12.8
{2018, 1, 6, 13, 51, 0.}| -12.8
{2018, 1, 6, 14, 51, 0.}| -12.2
{2018, 1, 6, 15, 51, 0.}| -11.7
{2018, 1, 6, 16, 51, 0.}| -11.1
{2018, 1, 6, 17, 51, 0.}| -10.6
{2018, 1, 6, 18, 51, 0.}| -10.6
{2018, 1, 6, 19, 51, 0.}| -10.6
{2018, 1, 6, 20, 51, 0.}| -10.6
{2018, 1, 6, 21, 51, 0.}| -11.1
{2018, 1, 6, 22, 51, 0.}| -11.7
{2018, 1, 6, 23, 51, 0.}| -12.2
{2018, 1, 7, 0, 51, 0.}| -12.8
{2018, 1, 7, 1, 51, 0.}| -13.3
{2018, 1, 7, 2, 51, 0.}| -13.3
{2018, 1, 7, 3, 51, 0.}| -13.3
{2018, 1, 7, 4, 51, 0.}| -13.9
{2018, 1, 7, 4, 59, 0.}| -13.9
{2018, 1, 7, 5, 51, 0.}| -14.4
{2018, 1, 7, 6, 51, 0.}| -14.4
{2018, 1, 7, 7, 51, 0.}| -14.4
{2018, 1, 7, 8, 51, 0.}| -14.4
{2018, 1, 7, 9, 51, 0.}| -14.4
{2018, 1, 7, 10, 51, 0.}| -15
{2018, 1, 7, 11, 51, 0.}| -15
{2018, 1, 7, 12, 51, 0.}| -15.6
{2018, 1, 7, 13, 51, 0.}| -13.9
{2018, 1, 7, 14, 51, 0.}| -12.8
{2018, 1, 7, 15, 51, 0.}| -11.7
{2018, 1, 7, 16, 51, 0.}| -10.6
{2018, 1, 7, 17, 51, 0.}| -10
{2018, 1, 7, 18, 51, 0.}| -9.4
{2018, 1, 7, 19, 51, 0.}| -9.4
{2018, 1, 7, 20, 51, 0.}| -9.4
{2018, 1, 7, 21, 51, 0.}| -8.9
{2018, 1, 7, 23, 51, 0.}| -8.9
